epoch: 255, val psnr: 41.86, val ssim: 0.9523
epoch: 256, train loss: 7.1399e-03, train psnr: 39.93
epoch: 257, train loss: 7.1776e-03, train psnr: 40.18
epoch: 258, train loss: 7.4369e-03, train psnr: 39.82
epoch: 259, train loss: 7.0049e-03, train psnr: 40.25
epoch: 260, train loss: 7.2451e-03, train psnr: 40.42
epoch: 260, val psnr: 41.43, val ssim: 0.9506
epoch: 261, train loss: 6.7666e-03, train psnr: 41.15
epoch: 262, train loss: 6.8848e-03, train psnr: 40.42
epoch: 263, train loss: 7.1349e-03, train psnr: 40.50
epoch: 264, train loss: 7.2093e-03, train psnr: 40.02
epoch: 265, train loss: 7.0700e-03, train psnr: 40.61
epoch: 265, val psnr: 42.22, val ssim: 0.9559
best epoch: 265, val psnr: 42.22, saved
epoch: 266, train loss: 7.0070e-03, train psnr: 40.25
epoch: 267, train loss: 7.3056e-03, train psnr: 40.24
epoch: 268, train loss: 6.8313e-03, train psnr: 40.73
epoch: 269, train loss: 7.7101e-03, train psnr: 39.52
epoch: 270, train loss: 7.4760e-03, train psnr: 39.93
epoch: 270, val psnr: 40.25, val ssim: 0.9424
epoch: 271, train loss: 7.0249e-03, train psnr: 40.37
epoch: 272, train loss: 7.0437e-03, train psnr: 40.44
epoch: 273, train loss: 7.2260e-03, train psnr: 39.95
epoch: 274, train loss: 6.8225e-03, train psnr: 40.81
epoch: 275, train loss: 6.9974e-03, train psnr: 40.42
epoch: 275, val psnr: 41.66, val ssim: 0.9518
epoch: 276, train loss: 7.2535e-03, train psnr: 40.44
epoch: 277, train loss: 6.7940e-03, train psnr: 40.52
epoch: 278, train loss: 6.8216e-03, train psnr: 40.84
epoch: 279, train loss: 7.6371e-03, train psnr: 39.78
epoch: 280, train loss: 7.4145e-03, train psnr: 40.02
epoch: 280, val psnr: 41.34, val ssim: 0.9401
epoch: 281, train loss: 7.0097e-03, train psnr: 40.55
epoch: 282, train loss: 7.0244e-03, train psnr: 40.46
epoch: 283, train loss: 6.9081e-03, train psnr: 40.56
epoch: 284, train loss: 6.5903e-03, train psnr: 40.88
epoch: 285, train loss: 6.8721e-03, train psnr: 40.80
epoch: 285, val psnr: 41.27, val ssim: 0.9489
epoch: 286, train loss: 6.8552e-03, train psnr: 40.46
epoch: 287, train loss: 6.8018e-03, train psnr: 40.71
epoch: 288, train loss: 7.1367e-03, train psnr: 40.10
epoch: 289, train loss: 7.1120e-03, train psnr: 40.28
epoch: 290, train loss: 6.8938e-03, train psnr: 40.60
epoch: 290, val psnr: 41.49, val ssim: 0.9534
epoch: 291, train loss: 6.7405e-03, train psnr: 40.76
epoch: 292, train loss: 7.2842e-03, train psnr: 40.17
epoch: 293, train loss: 6.8366e-03, train psnr: 40.76
epoch: 294, train loss: 6.6359e-03, train psnr: 40.68
epoch: 295, train loss: 7.4430e-03, train psnr: 40.31
epoch: 295, val psnr: 42.34, val ssim: 0.9547
best epoch: 295, val psnr: 42.34, saved
epoch: 296, train loss: 7.4592e-03, train psnr: 40.13
epoch: 297, train loss: 7.0776e-03, train psnr: 40.25
epoch: 298, train loss: 6.8921e-03, train psnr: 40.44
epoch: 299, train loss: 7.4747e-03, train psnr: 40.38
epoch: 300, train loss: 7.2409e-03, train psnr: 40.30
epoch: 300, val psnr: 41.71, val ssim: 0.9556
epoch: 301, train loss: 6.6455e-03, train psnr: 41.18
epoch: 302, train loss: 6.9099e-03, train psnr: 40.82
epoch: 303, train loss: 7.2182e-03, train psnr: 40.42
epoch: 304, train loss: 7.6282e-03, train psnr: 39.84
epoch: 305, train loss: 6.8547e-03, train psnr: 40.56
epoch: 305, val psnr: 41.70, val ssim: 0.9538
epoch: 306, train loss: 7.0632e-03, train psnr: 40.05
epoch: 307, train loss: 7.2148e-03, train psnr: 40.37
epoch: 308, train loss: 7.2313e-03, train psnr: 40.53
epoch: 309, train loss: 7.0458e-03, train psnr: 40.25
epoch: 310, train loss: 7.3587e-03, train psnr: 39.98
epoch: 310, val psnr: 41.89, val ssim: 0.9534
epoch: 311, train loss: 6.3748e-03, train psnr: 40.99
epoch: 312, train loss: 6.6020e-03, train psnr: 40.94
epoch: 313, train loss: 6.8855e-03, train psnr: 40.20
epoch: 314, train loss: 7.2764e-03, train psnr: 40.45
epoch: 315, train loss: 6.8700e-03, train psnr: 40.54
epoch: 315, val psnr: 41.17, val ssim: 0.9452
epoch: 316, train loss: 6.6948e-03, train psnr: 41.13
epoch: 317, train loss: 6.7567e-03, train psnr: 40.83
epoch: 318, train loss: 7.3534e-03, train psnr: 40.32
epoch: 319, train loss: 6.5738e-03, train psnr: 40.99
epoch: 320, train loss: 6.7554e-03, train psnr: 40.79
epoch: 320, val psnr: 42.43, val ssim: 0.9567
best epoch: 320, val psnr: 42.43, saved
epoch: 321, train loss: 6.9093e-03, train psnr: 40.54
epoch: 322, train loss: 6.6319e-03, train psnr: 40.56
epoch: 323, train loss: 6.6278e-03, train psnr: 40.69
epoch: 324, train loss: 7.1539e-03, train psnr: 40.35
epoch: 325, train loss: 6.3347e-03, train psnr: 41.07
epoch: 325, val psnr: 42.03, val ssim: 0.9552
epoch: 326, train loss: 6.7647e-03, train psnr: 40.50
epoch: 327, train loss: 7.3594e-03, train psnr: 40.39
epoch: 328, train loss: 6.5949e-03, train psnr: 40.60
epoch: 329, train loss: 6.2461e-03, train psnr: 41.12
epoch: 330, train loss: 6.8569e-03, train psnr: 40.35
epoch: 330, val psnr: 42.46, val ssim: 0.9513
best epoch: 330, val psnr: 42.46, saved
epoch: 331, train loss: 6.4854e-03, train psnr: 41.20
epoch: 332, train loss: 7.0837e-03, train psnr: 39.98
epoch: 333, train loss: 7.1333e-03, train psnr: 40.64
epoch: 334, train loss: 6.6141e-03, train psnr: 40.86
epoch: 335, train loss: 7.4162e-03, train psnr: 40.18
epoch: 335, val psnr: 41.75, val ssim: 0.9515
epoch: 336, train loss: 6.6310e-03, train psnr: 41.24
epoch: 337, train loss: 6.7849e-03, train psnr: 40.62
epoch: 338, train loss: 6.5949e-03, train psnr: 40.98
epoch: 339, train loss: 6.8025e-03, train psnr: 40.88
epoch: 340, train loss: 6.8973e-03, train psnr: 40.75
epoch: 340, val psnr: 42.32, val ssim: 0.9531
epoch: 341, train loss: 6.7007e-03, train psnr: 40.88
epoch: 342, train loss: 6.7363e-03, train psnr: 40.73
epoch: 343, train loss: 6.9337e-03, train psnr: 40.60
epoch: 344, train loss: 6.5267e-03, train psnr: 40.93
epoch: 345, train loss: 7.0229e-03, train psnr: 40.32
epoch: 345, val psnr: 41.83, val ssim: 0.9513
epoch: 346, train loss: 7.2978e-03, train psnr: 40.11
epoch: 347, train loss: 6.9309e-03, train psnr: 40.66
epoch: 348, train loss: 7.0127e-03, train psnr: 40.75
epoch: 349, train loss: 6.9818e-03, train psnr: 40.61
epoch: 350, train loss: 6.5712e-03, train psnr: 40.87
epoch: 350, val psnr: 41.03, val ssim: 0.9485
epoch: 351, train loss: 6.8236e-03, train psnr: 40.33
epoch: 352, train loss: 6.8520e-03, train psnr: 40.84
epoch: 353, train loss: 6.2663e-03, train psnr: 41.08
epoch: 354, train loss: 6.8327e-03, train psnr: 40.61
epoch: 355, train loss: 6.5548e-03, train psnr: 40.97
epoch: 355, val psnr: 42.46, val ssim: 0.9523
best epoch: 355, val psnr: 42.46, saved
epoch: 356, train loss: 6.4139e-03, train psnr: 41.57
epoch: 357, train loss: 7.3650e-03, train psnr: 40.53
epoch: 358, train loss: 6.9321e-03, train psnr: 40.27
epoch: 359, train loss: 6.8148e-03, train psnr: 40.60
epoch: 360, train loss: 6.2540e-03, train psnr: 41.52
epoch: 360, val psnr: 41.70, val ssim: 0.9501
epoch: 361, train loss: 7.4286e-03, train psnr: 40.11
epoch: 362, train loss: 6.4862e-03, train psnr: 41.25
epoch: 363, train loss: 6.9261e-03, train psnr: 40.84
epoch: 364, train loss: 6.6576e-03, train psnr: 41.24
epoch: 365, train loss: 6.6377e-03, train psnr: 40.69
epoch: 365, val psnr: 42.35, val ssim: 0.9577
epoch: 366, train loss: 6.8194e-03, train psnr: 40.68
epoch: 367, train loss: 6.8963e-03, train psnr: 40.60
epoch: 368, train loss: 7.2027e-03, train psnr: 40.08
epoch: 369, train loss: 7.2455e-03, train psnr: 40.04
epoch: 370, train loss: 6.6210e-03, train psnr: 40.53
epoch: 370, val psnr: 41.79, val ssim: 0.9479
epoch: 371, train loss: 6.9589e-03, train psnr: 40.81
epoch: 372, train loss: 6.6425e-03, train psnr: 40.79
epoch: 373, train loss: 6.2186e-03, train psnr: 41.23
epoch: 374, train loss: 6.3900e-03, train psnr: 41.26
epoch: 375, train loss: 6.7779e-03, train psnr: 40.60
epoch: 375, val psnr: 41.72, val ssim: 0.9515
epoch: 376, train loss: 6.4731e-03, train psnr: 41.03
epoch: 377, train loss: 6.6601e-03, train psnr: 41.01
epoch: 378, train loss: 6.4891e-03, train psnr: 41.06
epoch: 379, train loss: 6.9018e-03, train psnr: 39.98
epoch: 380, train loss: 6.5720e-03, train psnr: 40.77
epoch: 380, val psnr: 42.88, val ssim: 0.9606
best epoch: 380, val psnr: 42.88, saved
epoch: 381, train loss: 6.7099e-03, train psnr: 40.56
epoch: 382, train loss: 6.4052e-03, train psnr: 41.25
epoch: 383, train loss: 6.7950e-03, train psnr: 40.69
