epoch: 134, train loss: 6.7698e-03, train psnr: 40.35
epoch: 135, train loss: 6.6369e-03, train psnr: 40.28
epoch: 135, val psnr: 41.06, val ssim: 0.9447
epoch: 136, train loss: 7.3713e-03, train psnr: 39.92
epoch: 137, train loss: 6.8129e-03, train psnr: 40.51
epoch: 138, train loss: 7.4213e-03, train psnr: 39.67
epoch: 139, train loss: 7.3133e-03, train psnr: 40.26
epoch: 140, train loss: 7.1568e-03, train psnr: 40.20
epoch: 140, val psnr: 42.18, val ssim: 0.9560
best epoch: 140, val psnr: 42.18, saved
epoch: 141, train loss: 6.8760e-03, train psnr: 40.41
epoch: 142, train loss: 7.1738e-03, train psnr: 39.79
epoch: 143, train loss: 6.6555e-03, train psnr: 40.80
epoch: 144, train loss: 7.0363e-03, train psnr: 40.22
epoch: 145, train loss: 7.3138e-03, train psnr: 40.08
epoch: 145, val psnr: 41.01, val ssim: 0.9405
epoch: 146, train loss: 6.9983e-03, train psnr: 40.21
epoch: 147, train loss: 7.1902e-03, train psnr: 40.33
epoch: 148, train loss: 7.2939e-03, train psnr: 40.19
epoch: 149, train loss: 7.2731e-03, train psnr: 39.94
epoch: 150, train loss: 6.5902e-03, train psnr: 40.99
epoch: 150, val psnr: 41.62, val ssim: 0.9550
epoch: 151, train loss: 6.7220e-03, train psnr: 40.60
epoch: 152, train loss: 7.0026e-03, train psnr: 40.34
epoch: 153, train loss: 6.6724e-03, train psnr: 40.90
epoch: 154, train loss: 6.6781e-03, train psnr: 40.78
epoch: 155, train loss: 7.0647e-03, train psnr: 40.63
epoch: 155, val psnr: 41.17, val ssim: 0.9468
epoch: 156, train loss: 7.2058e-03, train psnr: 40.19
epoch: 157, train loss: 7.0572e-03, train psnr: 40.24
epoch: 158, train loss: 7.3319e-03, train psnr: 39.51
epoch: 159, train loss: 6.9843e-03, train psnr: 40.08
epoch: 160, train loss: 7.3669e-03, train psnr: 39.88
epoch: 160, val psnr: 41.93, val ssim: 0.9574
epoch: 161, train loss: 6.9642e-03, train psnr: 40.56
epoch: 162, train loss: 7.4498e-03, train psnr: 39.85
epoch: 163, train loss: 6.9859e-03, train psnr: 40.36
epoch: 164, train loss: 6.7223e-03, train psnr: 40.49
epoch: 165, train loss: 6.9762e-03, train psnr: 40.51
epoch: 165, val psnr: 41.49, val ssim: 0.9536
epoch: 166, train loss: 6.6688e-03, train psnr: 40.63
epoch: 167, train loss: 7.0842e-03, train psnr: 39.94
epoch: 168, train loss: 6.7625e-03, train psnr: 40.88
epoch: 169, train loss: 6.9839e-03, train psnr: 40.39
epoch: 170, train loss: 7.0394e-03, train psnr: 40.54
epoch: 170, val psnr: 41.62, val ssim: 0.9532
epoch: 171, train loss: 7.4792e-03, train psnr: 39.81
epoch: 172, train loss: 7.3399e-03, train psnr: 39.97
epoch: 173, train loss: 6.5582e-03, train psnr: 40.96
epoch: 174, train loss: 6.6525e-03, train psnr: 40.65
epoch: 175, train loss: 6.7568e-03, train psnr: 40.36
epoch: 175, val psnr: 42.86, val ssim: 0.9633
best epoch: 175, val psnr: 42.86, saved
epoch: 176, train loss: 6.6709e-03, train psnr: 40.26
epoch: 177, train loss: 6.9945e-03, train psnr: 40.36
epoch: 178, train loss: 6.3965e-03, train psnr: 41.34
epoch: 179, train loss: 7.2066e-03, train psnr: 40.34
epoch: 180, train loss: 7.0473e-03, train psnr: 40.50
epoch: 180, val psnr: 42.11, val ssim: 0.9505
epoch: 181, train loss: 6.8567e-03, train psnr: 40.62
epoch: 182, train loss: 7.2466e-03, train psnr: 40.43
epoch: 183, train loss: 6.8255e-03, train psnr: 40.67
epoch: 184, train loss: 7.1106e-03, train psnr: 40.23
epoch: 185, train loss: 6.7306e-03, train psnr: 40.29
epoch: 185, val psnr: 42.77, val ssim: 0.9581
epoch: 186, train loss: 7.0896e-03, train psnr: 40.38
epoch: 187, train loss: 7.3920e-03, train psnr: 39.66
epoch: 188, train loss: 6.8827e-03, train psnr: 40.56
epoch: 189, train loss: 6.4976e-03, train psnr: 40.96
epoch: 190, train loss: 6.9178e-03, train psnr: 40.39
epoch: 190, val psnr: 41.67, val ssim: 0.9517
epoch: 191, train loss: 6.8070e-03, train psnr: 40.48
epoch: 192, train loss: 6.5516e-03, train psnr: 41.03
epoch: 193, train loss: 6.8865e-03, train psnr: 40.59
epoch: 194, train loss: 6.7741e-03, train psnr: 40.47
epoch: 195, train loss: 6.8234e-03, train psnr: 40.72
epoch: 195, val psnr: 42.48, val ssim: 0.9543
epoch: 196, train loss: 7.2811e-03, train psnr: 40.18
epoch: 197, train loss: 6.2854e-03, train psnr: 41.31
epoch: 198, train loss: 6.8825e-03, train psnr: 40.50
epoch: 199, train loss: 7.0043e-03, train psnr: 40.29
epoch: 200, train loss: 6.3367e-03, train psnr: 40.86
epoch: 200, val psnr: 40.89, val ssim: 0.9485
epoch: 201, train loss: 7.1362e-03, train psnr: 39.82
epoch: 202, train loss: 6.5622e-03, train psnr: 40.76
epoch: 203, train loss: 6.4487e-03, train psnr: 40.97
epoch: 204, train loss: 6.7427e-03, train psnr: 40.10
epoch: 205, train loss: 6.5860e-03, train psnr: 41.25
epoch: 205, val psnr: 42.47, val ssim: 0.9571
epoch: 206, train loss: 6.7162e-03, train psnr: 40.80
epoch: 207, train loss: 6.6999e-03, train psnr: 40.86
epoch: 208, train loss: 6.6536e-03, train psnr: 40.44
epoch: 209, train loss: 7.3559e-03, train psnr: 40.37
epoch: 210, train loss: 6.9972e-03, train psnr: 40.15
epoch: 210, val psnr: 42.29, val ssim: 0.9584
epoch: 211, train loss: 7.1260e-03, train psnr: 40.12
epoch: 212, train loss: 6.5878e-03, train psnr: 40.72
epoch: 213, train loss: 6.8863e-03, train psnr: 40.55
epoch: 214, train loss: 6.8034e-03, train psnr: 40.48
epoch: 215, train loss: 6.8338e-03, train psnr: 40.53
epoch: 215, val psnr: 41.75, val ssim: 0.9540
epoch: 216, train loss: 6.6878e-03, train psnr: 40.97
epoch: 217, train loss: 7.0986e-03, train psnr: 40.16
epoch: 218, train loss: 6.8531e-03, train psnr: 40.63
epoch: 219, train loss: 6.8642e-03, train psnr: 40.81
epoch: 220, train loss: 6.9004e-03, train psnr: 40.74
epoch: 220, val psnr: 41.56, val ssim: 0.9505
epoch: 221, train loss: 6.8536e-03, train psnr: 40.28
epoch: 222, train loss: 6.9961e-03, train psnr: 40.31
epoch: 223, train loss: 6.8396e-03, train psnr: 40.73
epoch: 224, train loss: 6.8422e-03, train psnr: 40.65
epoch: 225, train loss: 6.6538e-03, train psnr: 41.01
epoch: 225, val psnr: 41.29, val ssim: 0.9505
epoch: 226, train loss: 6.7494e-03, train psnr: 40.69
epoch: 227, train loss: 6.9103e-03, train psnr: 40.28
epoch: 228, train loss: 6.9123e-03, train psnr: 40.87
epoch: 229, train loss: 6.4648e-03, train psnr: 41.04
epoch: 230, train loss: 6.7102e-03, train psnr: 40.81
epoch: 230, val psnr: 41.13, val ssim: 0.9466
epoch: 231, train loss: 7.3992e-03, train psnr: 39.97
epoch: 232, train loss: 6.8299e-03, train psnr: 40.61
epoch: 233, train loss: 6.3501e-03, train psnr: 41.13
epoch: 234, train loss: 6.9115e-03, train psnr: 40.57
epoch: 235, train loss: 6.2787e-03, train psnr: 41.04
epoch: 235, val psnr: 42.20, val ssim: 0.9572
epoch: 236, train loss: 6.5481e-03, train psnr: 40.74
epoch: 237, train loss: 6.9431e-03, train psnr: 40.71
epoch: 238, train loss: 6.9600e-03, train psnr: 40.34
epoch: 239, train loss: 6.7714e-03, train psnr: 40.40
epoch: 240, train loss: 6.6794e-03, train psnr: 40.84
epoch: 240, val psnr: 42.53, val ssim: 0.9576
epoch: 241, train loss: 6.8765e-03, train psnr: 40.54
epoch: 242, train loss: 7.5469e-03, train psnr: 39.96
epoch: 243, train loss: 6.5204e-03, train psnr: 41.22
epoch: 244, train loss: 6.3175e-03, train psnr: 41.02
epoch: 245, train loss: 6.5716e-03, train psnr: 40.80
epoch: 245, val psnr: 42.72, val ssim: 0.9578
epoch: 246, train loss: 6.3655e-03, train psnr: 41.05
epoch: 247, train loss: 6.4250e-03, train psnr: 40.96
epoch: 248, train loss: 6.4720e-03, train psnr: 41.03
epoch: 249, train loss: 6.6809e-03, train psnr: 40.80
epoch: 250, train loss: 6.2763e-03, train psnr: 41.27
epoch: 250, val psnr: 42.38, val ssim: 0.9562
epoch: 251, train loss: 6.3375e-03, train psnr: 41.03
epoch: 252, train loss: 6.6900e-03, train psnr: 41.03
epoch: 253, train loss: 6.5231e-03, train psnr: 41.09
epoch: 254, train loss: 6.1150e-03, train psnr: 41.33
epoch: 255, train loss: 6.0909e-03, train psnr: 41.46
epoch: 255, val psnr: 42.30, val ssim: 0.9533
epoch: 256, train loss: 7.3020e-03, train psnr: 39.98
epoch: 257, train loss: 6.7801e-03, train psnr: 40.65
epoch: 258, train loss: 7.1912e-03, train psnr: 40.20
epoch: 259, train loss: 6.6301e-03, train psnr: 40.72
epoch: 260, train loss: 6.4201e-03, train psnr: 40.97
epoch: 260, val psnr: 41.76, val ssim: 0.9523
epoch: 261, train loss: 6.5693e-03, train psnr: 41.49
epoch: 262, train loss: 6.8384e-03, train psnr: 40.46
epoch: 263, train loss: 6.7442e-03, train psnr: 41.37
epoch: 264, train loss: 6.5063e-03, train psnr: 41.05
epoch: 265, train loss: 6.5124e-03, train psnr: 41.08
epoch: 265, val psnr: 42.02, val ssim: 0.9542
epoch: 266, train loss: 6.9586e-03, train psnr: 40.68
epoch: 267, train loss: 6.8505e-03, train psnr: 40.71
epoch: 268, train loss: 6.9289e-03, train psnr: 40.58
epoch: 269, train loss: 7.5585e-03, train psnr: 39.59
epoch: 270, train loss: 6.4206e-03, train psnr: 41.03
epoch: 270, val psnr: 41.77, val ssim: 0.9513
epoch: 271, train loss: 6.4867e-03, train psnr: 41.13
epoch: 272, train loss: 6.5709e-03, train psnr: 41.10
epoch: 273, train loss: 6.5550e-03, train psnr: 40.84
epoch: 274, train loss: 6.4030e-03, train psnr: 41.26
epoch: 275, train loss: 6.5420e-03, train psnr: 40.82
epoch: 275, val psnr: 42.77, val ssim: 0.9524
epoch: 276, train loss: 7.0838e-03, train psnr: 40.92
epoch: 277, train loss: 6.3264e-03, train psnr: 41.30
epoch: 278, train loss: 6.1604e-03, train psnr: 41.55
epoch: 279, train loss: 6.8465e-03, train psnr: 40.82
epoch: 280, train loss: 6.8113e-03, train psnr: 40.88
epoch: 280, val psnr: 42.32, val ssim: 0.9556
epoch: 281, train loss: 6.5282e-03, train psnr: 40.84
epoch: 282, train loss: 6.5564e-03, train psnr: 40.91
epoch: 283, train loss: 6.7346e-03, train psnr: 40.62
epoch: 284, train loss: 6.3663e-03, train psnr: 40.94
epoch: 285, train loss: 6.5799e-03, train psnr: 41.21
epoch: 285, val psnr: 41.71, val ssim: 0.9557
epoch: 286, train loss: 6.4416e-03, train psnr: 41.18
epoch: 287, train loss: 6.3294e-03, train psnr: 41.33
epoch: 288, train loss: 6.7900e-03, train psnr: 40.71
epoch: 289, train loss: 6.7492e-03, train psnr: 40.87
epoch: 290, train loss: 6.8816e-03, train psnr: 40.71
epoch: 290, val psnr: 41.60, val ssim: 0.9510
epoch: 291, train loss: 6.3102e-03, train psnr: 41.09
epoch: 292, train loss: 6.7514e-03, train psnr: 40.62
epoch: 293, train loss: 6.4335e-03, train psnr: 41.23
epoch: 294, train loss: 6.0529e-03, train psnr: 41.32
epoch: 295, train loss: 7.3281e-03, train psnr: 40.64
epoch: 295, val psnr: 42.69, val ssim: 0.9580
epoch: 296, train loss: 6.9961e-03, train psnr: 40.53
epoch: 297, train loss: 6.6193e-03, train psnr: 40.83
epoch: 298, train loss: 6.4413e-03, train psnr: 41.15
epoch: 299, train loss: 6.5978e-03, train psnr: 40.77
epoch: 300, train loss: 6.5137e-03, train psnr: 41.15
epoch: 300, val psnr: 42.30, val ssim: 0.9601
epoch: 301, train loss: 6.5738e-03, train psnr: 41.38
epoch: 302, train loss: 6.3744e-03, train psnr: 41.21
epoch: 303, train loss: 6.7246e-03, train psnr: 41.04
epoch: 304, train loss: 6.8570e-03, train psnr: 40.47
epoch: 305, train loss: 6.1853e-03, train psnr: 41.22
epoch: 305, val psnr: 42.56, val ssim: 0.9543
epoch: 306, train loss: 6.1930e-03, train psnr: 41.58
epoch: 307, train loss: 6.5440e-03, train psnr: 41.28
epoch: 308, train loss: 6.6568e-03, train psnr: 41.32
epoch: 309, train loss: 6.5988e-03, train psnr: 40.82
epoch: 310, train loss: 7.4256e-03, train psnr: 40.08
epoch: 310, val psnr: 42.86, val ssim: 0.9589
epoch: 311, train loss: 5.7907e-03, train psnr: 41.78
epoch: 312, train loss: 6.5285e-03, train psnr: 41.04
epoch: 313, train loss: 6.7039e-03, train psnr: 40.54
epoch: 314, train loss: 6.5761e-03, train psnr: 41.35
epoch: 315, train loss: 6.1742e-03, train psnr: 41.44
epoch: 315, val psnr: 41.76, val ssim: 0.9554
epoch: 316, train loss: 6.4004e-03, train psnr: 41.24
epoch: 317, train loss: 6.3880e-03, train psnr: 41.44
epoch: 318, train loss: 6.7170e-03, train psnr: 41.00
epoch: 319, train loss: 6.1511e-03, train psnr: 41.68
epoch: 320, train loss: 6.3059e-03, train psnr: 41.56
epoch: 320, val psnr: 42.24, val ssim: 0.9549
epoch: 321, train loss: 6.1537e-03, train psnr: 41.62
epoch: 322, train loss: 6.5415e-03, train psnr: 40.88
epoch: 323, train loss: 6.2150e-03, train psnr: 41.48
epoch: 324, train loss: 6.4067e-03, train psnr: 41.24
epoch: 325, train loss: 5.8690e-03, train psnr: 41.71
epoch: 325, val psnr: 41.82, val ssim: 0.9531
epoch: 326, train loss: 7.0482e-03, train psnr: 40.19
epoch: 327, train loss: 6.6670e-03, train psnr: 40.81
epoch: 328, train loss: 6.2881e-03, train psnr: 41.30
epoch: 329, train loss: 6.0679e-03, train psnr: 41.83
epoch: 330, train loss: 6.0290e-03, train psnr: 41.38
